baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
1376.23	1.56	0.4	3.85	0.000119	0.000564	GANAB
1415.25	1.12	0.29	3.85	0.00012	0.00057	TMEM248
397.45	1.64	0.43	3.85	0.00012	0.00057	POLR2L
3522.87	1.19	0.31	3.84	0.000121	0.000575	CD47
7570.19	1.44	0.37	3.84	0.000121	0.000576	HIST1H2AC
779.47	1.59	0.41	3.84	0.000125	0.00059	MCUB
536.34	1.46	0.38	3.83	0.000126	0.000595	PYURF
2656.54	2.03	0.53	3.83	0.000127	0.000601	PGRMC1
1463.88	1.66	0.43	3.83	0.000129	0.000607	TTC14
701.69	1.46	0.38	3.83	0.00013	0.000613	AIP
10083.51	2.13	0.56	3.82	0.000131	0.000616	PF4
2130.33	-1.19	0.31	-3.82	0.000131	0.000617	MX2
2062.95	1.01	0.26	3.82	0.000131	0.000618	LAMP1
703.57	1.37	0.36	3.82	0.000133	0.000625	ATP5ME
3216.72	1.59	0.42	3.82	0.000133	0.000625	SNORA54
1066.79	1.28	0.34	3.82	0.000135	0.000631	ATP5PB
613.71	1.56	0.41	3.82	0.000135	0.000633	MZT2B
5245.65	1.18	0.31	3.81	0.00014	0.000653	SLC38A1
28626.92	-1.61	0.42	-3.81	0.00014	0.000654	CSF3R
628.36	1.37	0.36	3.8	0.000142	0.000664	IDH3B
3158.61	1.01	0.26	3.8	0.000143	0.000669	CCDC69
10682.63	2.38	0.63	3.8	0.000144	0.000671	SPARC
12961.22	1.17	0.31	3.8	0.000146	0.00068	PTMA
184.22	1.55	0.41	3.8	0.000147	0.000684	PPCS
1173.72	1.61	0.42	3.8	0.000147	0.000684	RAB37
1381.05	1.47	0.39	3.79	0.000149	0.000691	SNORA6
4385.42	1.11	0.29	3.79	0.000149	0.000692	DPYD
830.63	1.19	0.31	3.79	0.000151	0.000696	USO1
9317.18	1.82	0.48	3.79	0.000151	7e-04	SNORD118
4387.27	1.09	0.29	3.79	0.000152	0.000702	IKZF1
786.28	1.39	0.37	3.79	0.000153	0.000705	POLR2M
486.38	-1.43	0.38	-3.79	0.000154	0.000709	SAMD4B
742.89	1.47	0.39	3.78	0.000155	0.000714	SVIP
3190.2	1.09	0.29	3.78	0.000156	0.000717	KIAA0100
2113.21	1.59	0.42	3.78	0.000156	0.000718	GAS5
3112.47	0.95	0.25	3.78	0.000158	0.000726	BNIP2
757.01	1.24	0.33	3.78	0.000158	0.000727	COX7A2L
659.58	1.32	0.35	3.78	0.000159	0.000728	MDH2
2927.08	2.23	0.59	3.78	0.000159	0.00073	NRGN
551.77	1.89	0.5	3.78	0.00016	0.000732	SCP2
1500.78	1.6	0.42	3.77	0.000161	0.000735	EIF3M
3575.53	-1.24	0.33	-3.77	0.000162	0.000741	TUT7
193.42	1.79	0.47	3.77	0.000164	0.000747	COPS9
2221.14	1.3	0.35	3.77	0.000164	0.000747	SNORA7A
568.9	1.46	0.39	3.77	0.000164	0.000748	APOBEC3G
4459.23	1.8	0.48	3.77	0.000165	0.000749	EVL
799.56	1.34	0.36	3.77	0.000165	0.000752	HCST
4154.11	1.17	0.31	3.77	0.000165	0.000753	NONO
1261.62	1.45	0.39	3.76	0.000169	0.000767	EIF2A
1780.53	1.21	0.32	3.76	0.00017	0.000773	P2RY8
1650.15	1.67	0.44	3.76	0.000172	0.000778	CHMP7
2549.4	2.16	0.57	3.76	0.000172	0.000778	CA2
608.63	1.44	0.38	3.76	0.000172	0.000778	NDUFB9
890.57	1.55	0.41	3.76	0.000172	0.000779	SUMO3
279.6	1.73	0.46	3.76	0.000172	0.000779	ABRACL
646.48	1.62	0.43	3.75	0.000175	0.000791	PRDX1
1788.53	1.53	0.41	3.75	0.000177	0.000796	CAPN1
40426.56	1.07	0.29	3.75	0.000177	0.000796	AL355075.4
3577.79	1.74	0.46	3.75	0.000177	0.000798	CTSA
1534.51	1.22	0.33	3.75	0.000178	0.000804	RANBP6
479.47	1.34	0.36	3.74	0.000184	0.000824	STUB1
22.07	2.53	0.68	3.74	0.000186	0.000831	SNORD116-16
1782.17	2.46	0.66	3.74	0.000186	0.000831	TREML1
776.98	1.65	0.44	3.74	0.000186	0.000831	VAMP8
2573.66	1.04	0.28	3.73	0.000191	0.00085	PDIA3
1957.12	-1.67	0.45	-3.73	0.000193	0.00086	FFAR2
2421.39	-1.39	0.37	-3.73	0.000194	0.000863	ZC3H12A
1898.75	1.14	0.31	3.72	0.000196	0.000869	TMED10
8570.75	1.41	0.38	3.72	0.000197	0.000874	ETS1
2691.5	0.78	0.21	3.72	0.000197	0.000876	PSME1
1441.03	1.14	0.31	3.72	0.000198	0.000876	PPP1CC
1812.89	1.09	0.29	3.72	0.000199	0.000883	CGGBP1
2521.2	1.59	0.43	3.72	0.000199	0.000883	SNORD8
1504.81	1.3	0.35	3.72	0.000201	0.000889	CPT1A
812.12	1.97	0.53	3.72	0.000203	0.000898	FCER1A
1454.77	1.29	0.35	3.71	0.000207	0.000916	BRK1
6276.55	1.5	0.4	3.71	0.000208	0.000918	ANXA1
32784.41	1.23	0.33	3.71	0.000209	0.00092	SNORD17
1288.43	1.24	0.33	3.71	0.00021	0.000924	KARS
2228.93	1.52	0.41	3.71	0.000211	0.000928	CAPN2
8314.61	1.04	0.28	3.71	0.000211	0.000928	HMGB1
6182.2	-2.18	0.59	-3.7	0.000211	0.00093	MARCH8
1197.61	1.21	0.33	3.7	0.000214	0.00094	ATP5F1C
1537.66	1.21	0.33	3.7	0.000215	0.000946	CRLF3
1492.34	1.19	0.32	3.7	0.000215	0.000946	TES
1689.26	1.23	0.33	3.7	0.000215	0.000946	ATP5MG
934.48	1.64	0.44	3.7	0.000217	0.000951	SPINT2
444.11	1.56	0.42	3.7	0.000217	0.000952	HIST1H2AM
230.69	1.69	0.46	3.7	0.000218	0.000955	NDUFAB1
631.28	1.53	0.41	3.7	0.000219	0.000961	C1QBP
10826.06	-2.03	0.55	-3.69	0.00022	0.000963	BNIP3L
22993.74	0.99	0.27	3.69	0.000221	0.000965	VIM
1171.61	1.45	0.39	3.69	0.000226	0.000986	KCNA3
1939.79	1.45	0.39	3.68	0.000229	0.000998	TPST2
16977.98	1.26	0.34	3.68	0.000231	0.001	SNORA48
2111.81	0.99	0.27	3.68	0.000231	0.00101	TMOD3
1767.45	1.17	0.32	3.68	0.000233	0.00101	MOAP1
2634.37	1.31	0.36	3.68	0.000235	0.00102	PGAM1
1417.79	1	0.27	3.68	0.000236	0.00102	SELENOF
3958.36	-1.25	0.34	-3.67	0.000238	0.00103	NINJ1
8231.33	0.85	0.23	3.67	0.000239	0.00103	TMBIM6
580.58	1.38	0.37	3.67	0.000239	0.00103	TMEM230
2350.64	1.14	0.31	3.67	0.000246	0.00106	PDS5A
1307.86	1.45	0.39	3.66	0.000248	0.00107	PHB2
601.56	1.4	0.38	3.66	0.000251	0.00108	SUCLG2
792.41	1.55	0.42	3.66	0.000254	0.00109	SNORA62
1177.3	1.05	0.29	3.66	0.000255	0.0011	SURF4
1373.55	1.37	0.38	3.66	0.000257	0.0011	KTN1
2380.05	-1.42	0.39	-3.65	0.000258	0.0011	NCF1B
813.2	1.33	0.36	3.65	0.000258	0.0011	UQCRC1
3386.84	1.28	0.35	3.65	0.00026	0.00111	SNORA49
360.28	1.56	0.43	3.65	0.000263	0.00113	MEA1
10947.26	1.21	0.33	3.65	0.000264	0.00113	HNRNPA1
1742.69	1.08	0.29	3.65	0.000266	0.00113	CTDSP1
1944.54	1.42	0.39	3.65	0.000266	0.00113	COPA
2044.14	1.02	0.28	3.65	0.000266	0.00114	DEF6
662.35	1.35	0.37	3.64	0.00027	0.00115	DARS
324.7	1.62	0.45	3.64	0.000275	0.00117	NHP2
19480.28	-1.93	0.53	-3.64	0.000275	0.00117	CXCL8
5032.76	-2.05	0.57	-3.63	0.000278	0.00118	YOD1
827.97	1.73	0.48	3.63	0.00028	0.00119	TRAPPC2
1020.83	1.13	0.31	3.63	0.00028	0.00119	BCAP31
13706.61	-1.82	0.5	-3.63	0.000281	0.00119	MKRN1
3779.61	1.15	0.32	3.63	0.000282	0.0012	RBM3
970.31	1.21	0.33	3.63	0.000282	0.0012	IGBP1
1546.93	1.12	0.31	3.62	0.000294	0.00124	SNRPB
29155.85	1.21	0.33	3.62	0.000297	0.00125	EEF2
4971.82	-1.81	0.5	-3.62	0.000298	0.00125	BCL2A1
1977.85	1.68	0.46	3.62	0.000299	0.00126	NKG7
1538.15	1.91	0.53	3.61	0.000304	0.00127	CTSH
2536.52	-2.28	0.63	-3.61	0.000305	0.00128	FBRS
545	2.11	0.58	3.61	0.000306	0.00128	DUSP3
13812.77	2.68	0.74	3.61	0.000307	0.00128	RNA5-8SN2
3731.22	-2.52	0.7	-3.61	0.000308	0.00129	STRADB
1584.73	1.28	0.36	3.61	0.00031	0.0013	SNORA84
1294.22	1.5	0.42	3.6	0.000313	0.00131	ERP29
1276.94	1.6	0.44	3.6	0.000313	0.00131	FCMR
378.49	1.64	0.45	3.6	0.000314	0.00131	NSMCE1
3951.08	0.96	0.27	3.6	0.000316	0.00131	CEP350
1314.77	-2.21	0.61	-3.6	0.00032	0.00133	AL732372.2
5117.29	-2.25	0.63	-3.6	0.000321	0.00133	MBNL3
724.5	1.32	0.37	3.6	0.000323	0.00134	ABCE1
12103.47	-0.9	0.25	-3.6	0.000323	0.00134	JMJD1C
5306.93	1.34	0.37	3.59	0.000325	0.00135	RBL2
1270.43	1.06	0.3	3.59	0.000326	0.00135	VOPP1
2818.13	1.38	0.38	3.59	0.000326	0.00135	SNORA23
666.8	1.56	0.43	3.59	0.000332	0.00137	SNORA3B
1717.08	1.16	0.32	3.59	0.000334	0.00138	TMEM167A
390.98	1.66	0.46	3.59	0.000335	0.00138	HIST1H2AD
3096.37	1.29	0.36	3.59	0.000335	0.00138	ARHGEF6
8572.96	1.28	0.36	3.59	0.000337	0.00139	RNU5A-1
1754.42	2.13	0.59	3.58	0.000341	0.00141	FYN
2081.18	-1.72	0.48	-3.58	0.000344	0.00142	SLC15A4
415.33	1.36	0.38	3.57	0.000352	0.00145	TBCA
2162.22	1.48	0.41	3.57	0.000353	0.00145	OIP5-AS1
4963.62	-2.36	0.66	-3.57	0.000354	0.00145	CHD4
856.31	1.33	0.37	3.57	0.000355	0.00146	NDUFA6
933.88	1.27	0.36	3.57	0.000357	0.00146	KIAA1143
3995.26	0.84	0.24	3.57	0.000359	0.00147	ARPC5
681.57	1.34	0.37	3.57	0.00036	0.00147	LPXN
1522.04	1.01	0.28	3.57	0.00036	0.00147	SLTM
6593.59	-1.97	0.55	-3.56	0.000364	0.00149	WNK1
1832.18	1.18	0.33	3.56	0.000369	0.0015	ATP5MC2
1564.26	1	0.28	3.56	0.000371	0.00151	SRP14
2709.38	1.28	0.36	3.56	0.000373	0.00152	NCL
570.6	1.77	0.5	3.55	0.000379	0.00154	NUTF2
1383.27	1.01	0.29	3.55	0.000379	0.00154	CBX3
1491.64	1.58	0.44	3.55	0.00038	0.00154	RSL1D1
1134.15	1.22	0.34	3.55	0.000385	0.00156	THAP12
1408.78	1.21	0.34	3.55	0.000385	0.00156	MBTPS1
848.05	1.57	0.44	3.55	0.000385	0.00156	SNORA38B
6854.7	-2.43	0.69	-3.55	0.000387	0.00157	BCL2L1
2001.86	1.42	0.4	3.55	0.000388	0.00157	HIST1H2BG
1841.05	0.86	0.24	3.55	0.00039	0.00158	RAB8A
1583.55	-1.02	0.29	-3.55	0.00039	0.00158	COP1
746.77	1.3	0.37	3.54	0.000396	0.0016	IMPDH2
597.45	1.55	0.44	3.54	0.000399	0.00161	BUB3
6146.66	-1.86	0.53	-3.54	4e-04	0.00161	RNF10
556.93	1.35	0.38	3.54	0.000402	0.00162	UQCRQ
1473.85	1.28	0.36	3.54	0.000405	0.00163	SNORA7B
1936.84	1.19	0.34	3.54	0.000405	0.00163	TOMM20
8409.87	-2.59	0.73	-3.54	0.000407	0.00163	SNCA
1309.19	1.03	0.29	3.53	0.000409	0.00164	PRKAA1
3612.77	1.26	0.36	3.53	0.00041	0.00165	SNRNP70
3189.27	1.36	0.38	3.53	0.000413	0.00165	CD14
824.64	1.46	0.41	3.53	0.000417	0.00167	RAB32
2243.16	1.28	0.36	3.53	0.000418	0.00167	ATXN7L3B
1453.34	1.22	0.34	3.53	0.000423	0.00169	ABHD17A
196.67	1.83	0.52	3.52	0.000429	0.00171	FRG1CP
326.13	1.9	0.54	3.52	0.000433	0.00172	ARMCX6
951400.98	0.94	0.27	3.52	0.000436	0.00174	RN7SK
2120.7	1.11	0.31	3.52	0.000439	0.00175	SND1
1293.07	1.36	0.39	3.52	0.00044	0.00175	ILF2
410421.47	1.13	0.32	3.51	0.00045	0.00178	RF00003
1937.05	1.18	0.34	3.51	0.000452	0.00179	NUCKS1
1233.89	1.39	0.39	3.51	0.000452	0.00179	HIST1H2BN
60562.49	1.55	0.44	3.51	0.000453	0.00179	LYZ
424.42	1.29	0.37	3.51	0.000456	0.0018	RPS19BP1
910.48	1.52	0.44	3.5	0.000468	0.00185	C9orf16
511.44	1.09	0.31	3.5	0.000468	0.00185	LYPLA2
684.46	1.9	0.54	3.49	0.000475	0.00187	ITM2A
3831.96	-1.34	0.38	-3.49	0.000483	0.0019	PLK3
330.48	1.46	0.42	3.48	0.000493	0.00194	KRTCAP2
5917.89	0.79	0.23	3.48	0.000494	0.00194	IL10RA
589.38	1.6	0.46	3.48	0.000497	0.00195	RPS28P7
1230.81	1.34	0.39	3.48	5e-04	0.00196	NARS
2664.75	1.11	0.32	3.48	5e-04	0.00196	USP22
11220.25	0.82	0.24	3.47	0.000511	0.002	HNRNPK
2631.62	1.38	0.4	3.47	0.000518	0.00202	SNAP23
545.46	1.27	0.37	3.47	0.00052	0.00203	TMED9
2577.86	-1.27	0.37	-3.47	0.000525	0.00205	MIR22HG
4784.69	1.11	0.32	3.47	0.000527	0.00205	TMEM123
541.57	1.29	0.37	3.46	0.000536	0.00209	APEX1
548.06	1.42	0.41	3.46	0.000537	0.00209	LYPLA1
4566.99	1.26	0.36	3.46	0.000542	0.0021	SNORA12
727.75	1.2	0.35	3.46	0.000545	0.00211	CREBL2
3227.2	-1.75	0.51	-3.46	0.000548	0.00212	PLAUR
2005.94	0.93	0.27	3.46	0.00055	0.00213	LONP2
16480.39	1.01	0.29	3.45	0.000554	0.00214	GAPDH
907.15	1.11	0.32	3.45	0.000564	0.00218	SCAMP2
1176.78	1	0.29	3.45	0.000564	0.00218	PSMA7
5225.5	-1.69	0.49	-3.45	0.000565	0.00218	LIMK2
614.38	1.22	0.35	3.45	0.000565	0.00218	CLPTM1L
6814.23	-1.45	0.42	-3.45	0.000568	0.00219	IFITM2
704.35	1.21	0.35	3.44	0.000572	0.0022	PSMD1
577.02	1.38	0.4	3.44	0.000572	0.0022	PPA1
3069.28	-1.2	0.35	-3.44	0.000578	0.00222	GTPBP1
836.88	1.47	0.43	3.44	0.000581	0.00223	SNHG6
201.6	1.56	0.45	3.44	0.000584	0.00224	HIST1H4D
320.46	1.67	0.48	3.44	0.000584	0.00224	TRDC
643.32	1.48	0.43	3.44	0.000586	0.00225	BST2
1394.52	1.31	0.38	3.44	0.000587	0.00225	RNF125
1041.05	1.51	0.44	3.44	0.000589	0.00226	SNORA9
3579.5	0.92	0.27	3.44	0.00059	0.00226	CTDSP2
826.43	1.26	0.37	3.43	0.000594	0.00227	SNORA47
3370.68	-1.01	0.29	-3.43	0.000602	0.0023	USP32
551.01	1.52	0.44	3.43	0.000603	0.0023	RF00024
708.69	1.23	0.36	3.43	0.000606	0.00231	PSMA1
2148.49	1.18	0.34	3.43	0.000611	0.00233	HACD4
2872.19	1.11	0.32	3.43	0.000611	0.00233	ACAP1
6659.66	1.72	0.5	3.43	0.000614	0.00234	MAP3K7CL
4586.8	-1.68	0.49	-3.43	0.000614	0.00234	AL627309.5
2152.14	1.31	0.38	3.42	0.000619	0.00235	KIAA1147
3697.86	1.25	0.37	3.42	0.000619	0.00236	RASGRP2
2429.8	1.33	0.39	3.42	0.00062	0.00236	WASH5P
694.59	1.91	0.56	3.42	0.000624	0.00237	HMGB1P6
676.93	1.16	0.34	3.42	0.000624	0.00237	COX7B
472.36	1.31	0.38	3.42	0.000627	0.00238	DBI
776.83	1.27	0.37	3.41	0.000641	0.00243	CITED2
1309.7	0.91	0.27	3.41	0.000642	0.00243	COPE
316.27	1.54	0.45	3.41	0.000642	0.00243	NCBP2-AS2
1241.68	1.3	0.38	3.41	0.000645	0.00244	NPTN
5134.7	1.03	0.3	3.41	0.000647	0.00245	S100A4
1151.71	2.28	0.67	3.41	0.00065	0.00246	GP9
1012.98	1.43	0.42	3.41	0.000651	0.00246	CRBN
1286.43	1.19	0.35	3.41	0.000652	0.00247	GSR
1712.2	1.09	0.32	3.41	0.000653	0.00247	APH1A
2611.25	-1.43	0.42	-3.41	0.000658	0.00249	YPEL3
5681.96	1.37	0.4	3.41	0.000662	0.0025	FERMT3
3095.68	1.12	0.33	3.4	0.000665	0.00251	CALR
1067.31	1.26	0.37	3.4	0.000666	0.00251	CCNG1
239.44	2.26	0.67	3.4	0.000669	0.00252	AC007036.3
1492.12	0.98	0.29	3.4	0.000672	0.00253	C4orf3
811.64	1.78	0.52	3.4	0.000673	0.00253	AGPAT1
23524.31	1.18	0.35	3.4	0.000675	0.00254	RNU4-1
685.03	1.22	0.36	3.4	0.000681	0.00256	TMX1
1453.89	1.21	0.36	3.4	0.000683	0.00257	EXOSC6
8222.06	1.57	0.46	3.4	0.000684	0.00257	OST4
3245.05	1.31	0.39	3.39	0.000693	0.0026	HIST1H2BD
3195.78	1.41	0.42	3.39	0.000703	0.00263	SEPT6
5459.25	-0.99	0.29	-3.39	0.000706	0.00264	WDR26
484.43	-2.42	0.72	-3.39	0.000707	0.00265	ERV3-1
59069.17	1.03	0.3	3.38	0.000712	0.00266	SNORA73B
1707.58	1.05	0.31	3.38	0.000714	0.00267	HMGN1
735.87	1.57	0.46	3.38	0.000714	0.00267	SNORA50A
39102.06	1.77	0.52	3.38	0.00072	0.00269	PPBP
1946.85	1.06	0.31	3.38	0.00072	0.00269	CDC37
5758.71	-1.43	0.42	-3.38	0.000722	0.0027	CPD
639.61	1.63	0.48	3.38	0.000733	0.00273	SNORA14B
4428.96	1.21	0.36	3.38	0.000733	0.00273	IL6ST
4412.2	1	0.3	3.37	0.000741	0.00276	ARGLU1
814.32	1.19	0.35	3.37	0.000743	0.00277	BTBD1
1961.8	0.83	0.25	3.37	0.000751	0.0028	SF3B2
2315.66	0.92	0.27	3.37	0.000758	0.00282	ARF6
2287.43	1.16	0.35	3.37	0.000764	0.00284	DGKD
1813.92	1.11	0.33	3.36	0.00077	0.00286	ATP6V0E1
1023.19	1.19	0.36	3.36	0.000773	0.00287	UQCRFS1
5836.37	1.01	0.3	3.36	0.000773	0.00287	ATF4
1488.97	0.92	0.27	3.36	0.000774	0.00287	UBE4A
696.31	1.29	0.38	3.35	0.000801	0.00296	PSMD3
886.83	1.13	0.34	3.35	0.000806	0.00298	FBH1
980.92	1.3	0.39	3.35	0.000807	0.00298	ATP6V1E1
673.8	1.07	0.32	3.35	0.000808	0.00298	ADSS
4391.2	-2.33	0.7	-3.35	0.000811	0.00299	YBX3
1681.59	0.96	0.29	3.35	0.000812	0.003	ANKRD10
8881.61	1.21	0.36	3.35	0.000812	0.003	MTPN
8117.11	-1.38	0.41	-3.35	0.000815	0.003	FAM129A
2171.82	0.96	0.29	3.35	0.000817	0.00301	CDK5RAP3
1235.36	1.66	0.49	3.35	0.000818	0.00301	S1PR1
787.73	1.69	0.5	3.34	0.000823	0.00303	HIST1H2BJ
1298.93	1.15	0.34	3.34	0.000824	0.00303	MPHOSPH8
387964.91	1.08	0.32	3.34	0.000828	0.00304	RNU1-28P
1031.67	1.35	0.4	3.34	0.000832	0.00305	SNORA21
1022.87	1.26	0.38	3.34	0.000835	0.00306	APPL1
1457.59	0.75	0.22	3.34	0.000835	0.00306	PSMB10
2093.85	1.19	0.35	3.34	0.000838	0.00307	SNORA52
387798.64	1.07	0.32	3.34	0.00084	0.00307	RNU1-2
387796.73	1.07	0.32	3.34	0.00084	0.00307	RNVU1-18
387813.99	1.07	0.32	3.34	0.00084	0.00307	RNU1-27P
387794.65	1.07	0.32	3.34	0.00084	0.00307	RNU1-4
387786.73	1.07	0.32	3.34	0.00084	0.00307	RNU1-3
387781.25	1.07	0.32	3.34	0.00084	0.00307	RNU1-1
1361.99	1.48	0.44	3.34	0.000841	0.00308	TMEM107
569.44	1.37	0.41	3.34	0.000842	0.00308	COMMD6
1103.07	0.84	0.25	3.34	0.000843	0.00308	TROVE2
1012.81	1.01	0.3	3.34	0.000848	0.0031	FAM32A
2258.17	-1.58	0.47	-3.33	0.000857	0.00313	GRINA
6536.03	-1.25	0.37	-3.33	0.000858	0.00313	PTPRE
1151.61	1.11	0.33	3.33	0.000859	0.00313	STIM1
3669.91	1.34	0.4	3.33	0.000872	0.00317	ODC1
1919.03	-2.57	0.77	-3.33	0.000872	0.00317	GLRX5
338.36	1.15	0.35	3.33	0.00088	0.0032	TMEM14B
892.37	1.23	0.37	3.33	0.000882	0.0032	COPZ1
2650.58	1.06	0.32	3.32	0.000895	0.00325	PNRC2
1157.72	1.33	0.4	3.32	0.000896	0.00325	HIST1H2BK
462.14	1.4	0.42	3.32	0.000898	0.00325	MEAF6
317.2	1.51	0.46	3.32	0.000902	0.00327	HMGN3
421	1.21	0.36	3.32	0.000911	0.0033	SPCS1
1113.86	1.15	0.35	3.31	0.000917	0.00332	UFM1
349.83	1.45	0.44	3.31	0.00092	0.00333	ATP5IF1
57.29	1.79	0.54	3.31	0.000928	0.00335	SNORA59A
1494.28	1.22	0.37	3.31	0.000929	0.00336	HINT1
1318.31	-1.31	0.39	-3.31	0.00093	0.00336	CLK3
3037.9	1.36	0.41	3.31	0.000934	0.00337	AES
540.29	1.08	0.33	3.31	0.000939	0.00339	OSTM1
831.27	1.19	0.36	3.31	0.00094	0.00339	VMA21
2785.63	0.89	0.27	3.31	0.000943	0.0034	EMB
11878.8	1.16	0.35	3.31	0.000948	0.00341	ATM
1886.5	1.27	0.38	3.31	0.000948	0.00341	TBC1D10C
3354.41	0.87	0.26	3.31	0.000949	0.00341	KIF5B
2115.14	1.54	0.47	3.3	0.000958	0.00344	CPVL
887.33	1.41	0.43	3.3	0.000962	0.00345	POLE3
3948.58	1.07	0.33	3.3	0.000967	0.00347	SRSF6
714.52	1.17	0.36	3.3	0.000971	0.00348	COX7A2
1369.3	1.12	0.34	3.3	0.000972	0.00348	SLC25A5
1049.49	-1.53	0.47	-3.3	0.000973	0.00348	TLE4
1945.15	1	0.3	3.3	0.000973	0.00348	UQCRB
2093.34	1.02	0.31	3.3	0.000978	0.0035	RCSD1
788.17	0.9	0.27	3.29	0.00101	0.00361	VDAC2
3882.61	1.17	0.36	3.29	0.00101	0.00361	SNORA64
1017.44	1.46	0.44	3.29	0.00101	0.00362	GTF2I
2473.76	1.15	0.35	3.29	0.00102	0.00363	CLEC2D
5362.81	-1.9	0.58	-3.29	0.00102	0.00364	SLC12A6
3757.63	0.76	0.23	3.28	0.00102	0.00365	TAOK1
352.85	1.49	0.45	3.28	0.00104	0.00369	HIST1H2BI
500.55	1.25	0.38	3.28	0.00105	0.00375	ERH
4671.48	-1.94	0.59	-3.27	0.00106	0.00378	PFKFB3
224.76	1.52	0.46	3.27	0.00106	0.00378	TMEM256
187.18	1.33	0.41	3.27	0.00107	0.00378	ROMO1
1628.65	0.98	0.3	3.27	0.00107	0.00378	TRAM1
502.09	1.58	0.48	3.27	0.00107	0.00378	SNORA3A
245.49	1.82	0.56	3.27	0.00107	0.00381	SNORA11
4663.73	0.8	0.24	3.27	0.00108	0.00382	CDV3
171.47	1.93	0.59	3.27	0.00108	0.00383	IGLV3-1
5397.39	0.86	0.26	3.27	0.00108	0.00383	NCKAP1L
363.25	1.65	0.51	3.27	0.00109	0.00385	HIST1H1B
3277.01	1.24	0.38	3.26	0.0011	0.00389	RBMX
589.67	1.15	0.35	3.26	0.0011	0.0039	TSNAX
1167.07	1.05	0.32	3.26	0.00112	0.00396	SRP9
2144.4	1.13	0.35	3.26	0.00112	0.00396	RAB1B
107.84	2.03	0.62	3.26	0.00113	0.00398	SNORA77
980.94	1.08	0.33	3.25	0.00114	0.004	EIF2S2
36558.15	1.13	0.35	3.25	0.00114	0.00402	PSAP
14257.06	0.91	0.28	3.25	0.00115	0.00404	ARHGDIB
2766.3	1.44	0.44	3.25	0.00116	0.00406	KIF2A
1378.98	1.02	0.32	3.25	0.00116	0.00406	NRAS
982.88	1.02	0.31	3.25	0.00117	0.00411	SLC3A2
6323.01	-1.39	0.43	-3.24	0.00121	0.00423	CYTH4
1926.82	1.26	0.39	3.23	0.00122	0.00425	F11R
1059.71	0.98	0.3	3.23	0.00122	0.00427	COX5B
223.37	1.66	0.51	3.23	0.00122	0.00427	HIST1H2BL
4087.02	0.95	0.29	3.23	0.00123	0.00427	CALM2
6715.48	0.98	0.3	3.23	0.00123	0.00429	SNORA17B
1459.88	1.02	0.32	3.23	0.00123	0.0043	MAN1A2
1381.55	1.1	0.34	3.23	0.00125	0.00434	RAB10
461.5	1.31	0.41	3.23	0.00125	0.00436	NDUFA11
296.94	1.39	0.43	3.22	0.00126	0.00438	NDUFB1
5021.53	0.82	0.26	3.22	0.00127	0.0044	ITGAL
1555.67	0.99	0.31	3.22	0.00127	0.0044	YWHAQ
1948.48	0.99	0.31	3.22	0.0013	0.00449	ZNF24
1600.26	0.92	0.29	3.21	0.00131	0.00453	PKN1
1136.34	1	0.31	3.21	0.00131	0.00453	UQCRC2
739.53	1.25	0.39	3.21	0.00131	0.00454	MICU1
1006.32	1.63	0.51	3.21	0.00132	0.00456	CD3E
404.65	1.2	0.37	3.21	0.00133	0.00458	ZNHIT1
12099.41	1.44	0.45	3.21	0.00133	0.00459	CYBB
750.05	1.87	0.58	3.21	0.00134	0.00461	PDLIM1
505.82	1.45	0.45	3.21	0.00134	0.00461	CLTA
1314.14	1.04	0.32	3.21	0.00134	0.00463	ITGB2-AS1
49.16	2.4	0.75	3.2	0.00136	0.00468	MIR663A
7703.22	-1.53	0.48	-3.2	0.00137	0.00471	AQP9
508.56	1.42	0.44	3.2	0.00138	0.00474	SNRPD3
554.31	1	0.31	3.2	0.00138	0.00475	ALYREF
897.55	1.06	0.33	3.2	0.00139	0.00477	COX8A
1091.87	1.23	0.38	3.2	0.00139	0.00478	UQCR11
2940.4	0.97	0.3	3.19	0.00143	0.00491	NUDT3
1334.55	1.19	0.37	3.19	0.00144	0.00493	BTK
4017.32	1.01	0.32	3.18	0.00145	0.00497	EIF3A
8224.66	0.75	0.24	3.18	0.00145	0.00497	EIF4A1
1910.98	1.15	0.36	3.18	0.00146	0.00499	MYO1G
804.86	1.24	0.39	3.18	0.00146	0.005	ATP5MPL
3297.15	1.05	0.33	3.18	0.00148	0.00503	CIRBP
526.38	1.71	0.54	3.18	0.00149	0.00508	ARIH2
664.28	1.14	0.36	3.17	0.0015	0.00512	WDR83OS
14492.78	-2.07	0.65	-3.17	0.00152	0.00515	ADIPOR1
4162.51	1.07	0.34	3.17	0.00152	0.00515	HSP90AB1
1906.43	1.71	0.54	3.17	0.00152	0.00516	ENDOD1
1190.66	1.38	0.44	3.17	0.00153	0.0052	DUSP22
9148.37	1.2	0.38	3.17	0.00153	0.0052	MPEG1
280.74	-2.06	0.65	-3.17	0.00153	0.0052	CCAR2
842.05	1.05	0.33	3.17	0.00155	0.00523	SS18
532.84	1.39	0.44	3.16	0.00156	0.00529	CYC1
1051.46	1.49	0.47	3.16	0.00157	0.00531	AC127502.2
3421.37	-1.34	0.42	-3.16	0.00158	0.00532	MARCKS
